DOMAIN,AGENCY,REG,CALLSIGN,TYPE,MODEL,HEX,COT,ICON,Domain,Agency,Type,Model
EMS,INTERMOUNTAIN LIFE FLIGHT,N261HC,N261HC-INTERMTN,,AW09,A28366,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR_RESCUE.png,,,,
EMS,INTERMOUNTAIN LIFE FLIGHT,N291HC,N291HC-INTERMTN,,AW09,A2F9E3,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR_RESCUE.png,,,,
EMS,INTERMOUNTAIN LIFE FLIGHT,N109RX,N109RX-INTERMTN,,AW09,A027B0,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR_RESCUE.png,,,,
EMS,INTERMOUNTAIN LIFE FLIGHT,N901HC,N901HC-INTERMTN,,AW09,AC7395,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR_RESCUE.png,,,,
EMS,ARS,N902TK,N902TK-ARS,,MD90,AC784D,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR_RESCUE.png,,,,
EMS,,N111KJ,JLG 25,FIXED WING,,A030D4,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_FIXED_WING.png,,,,
EMS,,N209CM,,FIXED WING,,A1B3B0,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_FIXED_WING.png,,,,
EMS,,N772SB,,FIXED WING,,AA7207,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_FIXED_WING.png,,,,
EMS,,N135CJ,AIR LIFE 2,HELICOPTER,,A08DFF,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N135CJ,,HELICOPTER,,A08DFF,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N135N,MAMA 1,HELICOPTER,,A08E04,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N135EC,EAST CARE 2,HELICOPTER,,A08E2B,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N135CP,MAMA 2,HELICOPTER,,A08EF0,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N137AM,,HELICOPTER,,A0953E,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N137MH,,HELICOPTER,,A09DBB,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
